round,date,num1,num2,num3,num4,num5,num6,bonus,winnernum,price,carryover
2055,2025/11/27,11,12,14,17,21,26,2,0,0,600000000
2054,2025/11/24,1,14,27,30,33,37,23,1,600000000,0
2053,2025/11/20,20,28,31,35,37,41,13,0,0,0
2052,2025/11/17,1,3,18,25,30,34,10,0,0,0
2051,2025/11/13,3,15,27,28,31,39,20,2,600000000,0
2050,2025/11/10,6,11,15,21,25,32,5,0,0,0
2049,2025/11/6,10,24,25,39,40,42,19,0,0,200000000
2048,2025/11/3,8,13,18,32,37,43,27,0,0,200000000
2047,2025/10/30,10,11,16,19,37,39,27,0,0,200000000
2046,2025/10/27,2,5,10,22,25,38,14,3,65800600,0
2045,2025/10/23,1,4,7,12,16,28,19,3,239377600,0
2044,2025/10/20,1,6,11,26,33,40,14,0,0,200000000
2043,2025/10/16,11,19,22,34,40,42,31,0,0,200000000
2042,2025/10/13,9,14,29,38,41,43,12,1,470308700,0
2041,2025/10/9,4,19,22,24,32,38,11,0,0,200000000
2040,2025/10/6,7,12,14,15,24,30,32,1,474998900,0
2039,2025/10/2,2,15,25,27,38,42,22,0,0,200000000
2038,2025/9/28,5,31,37,39,41,42,33,1,468137300,0
2037,2025/9/25,7,12,20,23,27,29,10,0,0,200000000
2036,2025/9/22,7,10,17,26,35,42,33,1,454610000,0
2035,2025/9/18,5,10,12,17,21,35,9,0,0,200000000
2034,2025/9/15,2,13,22,25,35,37,17,2,106150000,0
2033,2025/9/11,5,16,21,22,33,35,26,3,85090000,0
2032,2025/9/8,8,15,27,33,37,39,31,1,200000000,20000000
2031,2025/9/4,2,3,16,20,23,29,27,3,194180000,0
2030,2025/9/1,3,7,28,29,32,36,13,0,0,300000000
2029,2025/8/28,7,21,31,36,40,43,41,1,488050000,80000000
2028,2025/8/25,6,10,12,19,21,42,16,0,0,200000000
2027,2025/8/21,5,12,18,23,34,39,13,1,200000000,0
2026,2025/8/18,2,5,8,11,20,26,28,6,71630000,0
2025,2025/8/14,12,18,26,28,41,43,35,0,0,200000000
2024,2025/8/11,10,13,16,29,34,42,21,2,130660000,0
2023,2025/8/7,1,20,28,29,31,43,5,1,200000000,30000000
2022,2025/8/4,2,3,18,26,31,33,30,2,370900000,0
2021,2025/7/31,2,17,22,29,30,43,31,0,0,500000000
2020,2025/7/28,5,21,23,28,38,39,32,0,0,200000000
2019,2025/7/24,7,13,14,21,39,42,9,2,109850000,0
2018,2025/7/21,1,2,14,21,22,33,37,2,102180000,0
2017,2025/7/17,2,4,11,22,24,35,8,3,148610000,0
2016,2025/7/14,10,13,27,31,40,42,1,0,0,200000000
2015,2025/7/10,6,8,13,16,20,23,26,4,56000000,0
2014,2025/7/7,7,11,21,24,29,34,40,1,200000000,20000000
2013,2025/7/3,7,12,30,31,39,43,42,2,144540000,0
2012,2025/6/29,1,14,20,36,38,41,30,1,200000000,50000000
2011,2025/6/26,12,14,18,24,30,42,4,1,482080000,0
2010,2025/6/23,9,15,24,29,31,40,13,0,0,200000000
2009,2025/6/19,8,17,20,35,36,40,12,2,110610000,0
2008,2025/6/16,5,8,9,17,22,36,30,1,212980000,0
2007,2025/6/12,6,18,23,24,30,35,38,1,200000000,0
2006,2025/6/9,4,7,19,22,26,28,33,2,366760000,0
2005,2025/6/5,3,7,18,27,33,34,6,0,0,500000000
2004,2025/6/2,16,18,25,27,31,36,7,0,0,200000000
2003,2025/5/29,1,5,10,13,35,40,39,5,272020000,0
2002,2025/5/26,1,17,19,23,36,42,15,0,0,1100000000
2001,2025/5/22,13,21,24,26,34,36,20,1,600000000,800000000
2000,2025/5/19,1,2,16,21,25,35,22,0,0,1100000000
1999,2025/5/15,17,31,34,35,36,38,2,0,0,800000000
1998,2025/5/12,1,4,6,9,20,43,21,0,0,500000000
1997,2025/5/8,5,16,17,28,36,40,14,0,0,200000000
1996,2025/5/5,6,17,26,28,33,34,20,2,105650000,0
1995,2025/5/1,2,4,8,26,27,37,19,3,66530000,0
1994,2025/4/28,10,11,13,16,24,26,12,1,243750000,0
1993,2025/4/24,7,12,13,35,37,42,31,1,200000000,10000000
1992,2025/4/21,9,11,18,21,27,34,13,2,107590000,0
1991,2025/4/17,1,5,12,16,17,40,4,2,333150000,0
1990,2025/4/14,6,9,15,19,24,40,30,1,600000000,400000000
1989,2025/4/10,15,17,23,29,35,43,8,0,0,700000000
1988,2025/4/7,6,20,23,24,33,35,27,1,600000000,400000000
1987,2025/4/3,8,12,25,28,32,42,27,1,600000000,800000000
1986,2025/3/31,14,20,29,31,41,42,24,0,0,1100000000
1985,2025/3/27,1,30,36,37,41,43,33,0,0,700000000
1984,2025/3/24,4,19,28,29,34,40,3,1,600000000,500000000
1983,2025/3/20,3,18,31,36,37,40,23,0,0,700000000
1982,2025/3/17,20,21,23,28,32,34,6,0,0,500000000
1981,2025/3/13,5,10,15,17,29,41,30,0,0,200000000
1980,2025/3/10,1,2,13,19,35,41,3,2,288240000,0
1979,2025/3/6,15,18,19,21,37,40,17,0,0,300000000
1978,2025/3/3,23,25,26,30,34,35,12,1,200000000,50000000
1977,2025/2/27,4,14,20,28,29,34,30,7,37160000,0
1976,2025/2/24,4,6,22,30,33,36,2,1,200000000,20000000
1975,2025/2/20,11,13,15,20,35,42,19,3,254050000,0
1974,2025/2/17,2,6,13,21,24,30,43,0,0,500000000
1973,2025/2/13,7,10,14,27,28,32,4,0,0,200000000
1972,2025/2/10,3,14,27,28,32,36,12,2,232090000,0
1971,2025/2/6,2,6,9,26,32,36,23,0,0,200000000
1970,2025/2/3,11,26,27,31,36,37,42,1,473980000,0
1969,2025/1/30,3,7,12,13,35,38,24,0,0,200000000
1968,2025/1/27,6,13,15,22,35,41,37,1,467060000,0
1967,2025/1/23,3,4,22,26,29,35,37,0,0,200000000
1966,2025/1/20,4,12,25,29,34,36,32,2,245220000,0
1965,2025/1/16,17,18,20,23,33,43,19,0,0,200000000
1964,2025/1/13,2,5,28,33,35,36,34,2,380760000,0
1963,2025/1/9,3,4,20,29,35,38,6,0,0,500000000
1962,2025/1/6,4,8,19,22,32,37,26,0,0,200000000
1961,2024/12/30,11,12,27,28,38,43,10,3,99350000,0
1960,2024/12/26,10,22,27,28,31,32,8,1,200000000,50000000
1959,2024/12/23,19,20,36,40,41,43,22,1,453640000,0
1958,2024/12/19,1,15,16,20,21,25,19,1,600000000,200000000
1957,2024/12/16,3,4,5,13,34,42,18,1,600000000,500000000
1956,2024/12/12,2,19,21,24,35,42,17,0,0,700000000
1955,2024/12/9,11,19,26,28,29,36,1,0,0,500000000
1954,2024/12/5,2,10,15,25,35,37,22,0,0,200000000
1953,2024/12/2,19,23,29,33,36,40,27,1,279080000,0
1952,2024/11/28,24,25,31,32,34,40,12,1,200000000,30000000
1951,2024/11/25,1,3,6,23,28,35,14,1,500140000,0
1950,2024/11/21,9,20,26,28,30,42,6,0,0,300000000
1949,2024/11/18,12,13,17,28,37,43,27,1,200000000,20000000
1948,2024/11/14,18,29,30,38,39,43,40,2,377660000,0
1947,2024/11/11,10,24,30,36,37,41,5,0,0,500000000
1946,2024/11/7,8,9,11,27,36,38,18,0,0,200000000
1945,2024/11/4,1,2,4,14,27,43,41,2,104030000,0
1944,2024/10/31,6,11,21,33,39,42,18,2,105420000,0
1943,2024/10/28,10,11,17,25,34,38,9,2,231600000,0
1942,2024/10/24,1,16,18,26,27,35,29,0,0,200000000
1941,2024/10/21,2,12,13,21,23,43,39,1,245990000,0
1940,2024/10/17,2,14,15,25,26,42,9,1,200000000,20000000
1939,2024/10/14,10,22,26,27,29,37,41,2,122240000,0
1938,2024/10/10,5,9,14,32,39,41,24,1,200000000,20000000
1937,2024/10/7,1,9,26,28,31,38,8,2,391290000,0
1936,2024/10/3,1,6,19,29,33,35,26,0,0,500000000
1935,2024/9/30,3,8,12,14,17,40,2,0,0,200000000
1934,2024/9/26,6,13,16,20,27,41,30,1,200000000,20000000
1933,2024/9/23,3,7,9,10,12,30,16,3,57060000,0
1932,2024/9/19,1,5,16,20,24,31,29,1,247210000,0
1931,2024/9/16,9,23,27,30,33,41,4,1,200000000,20000000
1930,2024/9/12,5,10,19,23,29,37,11,3,313330000,0
1929,2024/9/9,7,10,12,20,40,43,4,0,0,700000000
1928,2024/9/5,2,18,20,24,26,29,22,0,0,400000000
1927,2024/9/2,2,11,18,26,32,36,10,1,600000000,100000000
1926,2024/8/29,10,13,18,24,34,37,1,0,0,500000000
1925,2024/8/26,5,9,11,18,34,37,22,0,0,200000000
1924,2024/8/22,7,16,18,25,26,27,17,2,356520000,0
1923,2024/8/19,6,7,18,30,34,37,3,0,0,500000000
1922,2024/8/15,3,11,22,31,33,35,13,0,0,200000000
1921,2024/8/12,1,2,13,25,33,41,31,1,200000000,0
1920,2024/8/8,6,10,22,23,31,36,37,2,100600000,0
1919,2024/8/5,5,17,19,21,38,41,6,3,70990000,0
1918,2024/8/1,3,4,5,6,18,20,11,6,37640000,0
1917,2024/7/29,3,12,14,29,30,33,21,1,200000000,20000000
1916,2024/7/25,5,13,18,23,30,39,33,1,442500000,0
1915,2024/7/22,4,10,14,19,24,40,15,0,0,200000000
1914,2024/7/18,4,10,22,24,36,38,8,2,106720000,0
1913,2024/7/15,2,5,22,23,29,33,17,2,347190000,0
1912,2024/7/11,1,11,24,29,33,34,4,0,0,500000000
1911,2024/7/8,4,8,9,14,16,41,15,0,0,200000000
1910,2024/7/4,2,8,24,29,30,31,6,1,332910000,0
1909,2024/7/1,3,5,7,8,22,27,28,1,600000000,100000000
1908,2024/6/27,3,9,21,25,42,43,36,0,0,500000000
1907,2024/6/24,10,14,21,23,24,40,28,0,0,200000000
1906,2024/6/20,1,8,21,22,30,42,24,3,70840000,0
1905,2024/6/17,4,5,17,20,29,30,40,4,115000000,0
1904,2024/6/13,14,21,23,24,28,36,7,0,0,200000000
1903,2024/6/10,18,19,23,25,27,32,20,2,110010000,0
1902,2024/6/6,4,7,15,18,35,40,12,1,375960000,0
1901,2024/6/3,14,15,26,28,33,37,4,1,600000000,100000000
1900,2024/5/30,3,9,29,30,39,42,23,0,0,500000000
1899,2024/5/27,2,4,9,19,33,36,3,0,0,200000000
1898,2024/5/23,5,19,23,26,31,42,32,3,241810000,0
1897,2024/5/20,7,23,27,30,34,36,28,0,0,500000000
1896,2024/5/16,5,12,15,16,28,40,1,0,0,200000000
1895,2024/5/13,6,18,29,33,35,40,1,2,247410000,0
1894,2024/5/9,19,29,36,37,41,42,35,0,0,200000000
1893,2024/5/6,25,31,33,35,37,42,16,2,310730000,0
1892,2024/5/2,7,8,9,19,22,38,24,1,600000000,300000000
1891,2024/4/29,2,16,23,38,40,43,33,0,0,700000000
1890,2024/4/25,17,21,29,34,41,42,2,0,0,400000000
1889,2024/4/22,7,15,21,27,28,32,24,1,600000000,100000000
1888,2024/4/18,4,5,6,28,29,39,7,0,0,500000000
1887,2024/4/15,5,7,15,18,36,37,20,0,0,200000000
1886,2024/4/11,1,6,19,25,33,39,15,2,105660000,0
1885,2024/4/8,2,6,7,16,17,41,32,1,489810000,0
1884,2024/4/4,20,25,29,36,38,42,19,0,0,200000000
1883,2024/4/1,3,11,24,25,28,32,5,1,230080000,0
1882,2024/3/28,3,6,11,25,36,43,10,1,200000000,0
1881,2024/3/25,2,9,22,31,33,35,30,2,275080000,0
1880,2024/3/21,9,14,21,31,33,43,30,0,0,300000000
1879,2024/3/18,1,8,14,27,29,37,6,1,200000000,30000000
1878,2024/3/14,6,8,12,18,32,38,39,2,368910000,0
1877,2024/3/11,1,11,13,16,21,37,6,0,0,500000000
1876,2024/3/6,4,7,17,31,38,43,30,0,0,200000000
1875,2024/3/4,11,15,16,24,38,39,29,3,166300000,0
1874,2024/2/29,13,31,33,36,41,43,29,0,0,200000000
1873,2024/2/26,6,15,26,33,39,41,42,2,131720000,0
1872,2024/2/22,3,18,20,25,34,40,31,1,200000000,30000000
1871,2024/2/19,7,13,22,24,38,42,14,2,254070000,0
1870,2024/2/15,5,9,13,23,25,40,27,0,0,200000000
1869,2024/2/12,7,8,16,28,36,37,29,1,200000000,20000000
1868,2024/2/8,3,7,22,23,24,32,2,2,101920000,0
1867,2024/2/5,1,6,17,28,40,42,4,1,504000000,0
1866,2024/2/1,8,19,21,29,38,40,12,0,0,200000000
1865,2024/1/29,3,5,18,21,26,36,34,3,73760000,0
1864,2024/1/25,14,22,28,34,41,42,11,1,574190000,0
1863,2024/1/22,15,20,24,37,38,39,27,0,0,300000000
1862,2024/1/18,25,27,33,37,38,43,16,1,200000000,40000000
1861,2024/1/15,2,12,13,27,39,40,30,2,282830000,0
1860,2024/1/11,8,15,20,21,31,34,28,2,600000000,300000000
1859,2024/1/8,1,4,11,28,37,39,15,0,0,1100000000
1858,2024/1/4,12,13,17,22,35,40,5,0,0,800000000
1857,2023/12/28,11,16,20,23,38,41,33,0,0,500000000
1856,2023/12/25,4,10,19,31,34,35,43,1,600000000,200000000
1855,2023/12/21,21,24,26,30,31,38,3,0,0,500000000
1854,2023/12/18,7,8,12,25,30,32,40,0,0,200000000
1853,2023/12/14,11,13,24,26,28,34,17,2,548750000,0
1852,2023/12/11,15,16,24,26,35,43,38,0,0,800000000
1851,2023/12/7,8,9,10,16,17,39,4,0,0,500000000
1850,2023/12/4,1,8,23,30,36,41,39,0,0,200000000
1849,2023/11/30,11,15,17,33,36,41,6,1,262840000,0
1848,2023/11/27,3,23,26,27,31,35,10,1,200000000,30000000
1847,2023/11/23,18,22,25,35,36,39,43,1,505530000,0
1846,2023/11/20,6,8,15,16,33,37,34,0,0,300000000
1845,2023/11/16,10,22,25,30,31,39,28,1,200000000,20000000
1844,2023/11/13,12,15,28,31,34,43,9,1,475070000,0
1843,2023/11/9,4,5,10,19,26,37,3,0,0,200000000
1842,2023/11/6,4,6,9,24,26,29,35,7,52610000,0
1841,2023/11/2,8,11,15,31,33,38,30,1,600000000,100000000
1840,2023/10/30,4,9,15,21,26,33,13,0,0,500000000
1839,2023/10/26,2,5,26,32,34,40,21,0,0,200000000
1838,2023/10/23,3,13,23,28,30,43,5,3,165070000,0
1837,2023/10/19,16,17,27,34,38,42,20,0,0,200000000
1836,2023/10/16,13,17,18,22,23,41,26,2,399230000,0
1835,2023/10/12,11,20,23,24,31,33,1,0,0,500000000
1834,2023/10/9,14,21,30,38,40,42,20,0,0,300000000
1833,2023/10/5,7,13,34,37,42,43,38,1,200000000,30000000
1832,2023/10/2,2,7,20,25,35,40,6,3,79450000,0
1831,2023/9/28,1,14,17,27,32,43,42,2,245960000,0
1830,2023/9/25,4,10,23,29,31,36,6,0,0,200000000
1829,2023/9/21,12,15,16,17,28,42,32,1,351360000,0
1828,2023/9/18,1,6,9,16,18,22,8,1,600000000,100000000
1827,2023/9/14,1,13,18,23,38,41,36,0,0,500000000
1826,2023/9/11,7,14,18,19,22,25,38,0,0,200000000
1825,2023/9/7,1,10,13,17,20,41,4,2,114150000,0
1824,2023/9/4,6,7,13,18,25,43,33,1,516960000,0
1823,2023/8/31,4,10,18,25,34,38,40,0,0,300000000
1822,2023/8/28,5,18,21,22,26,42,8,1,200000000,20000000
1821,2023/8/24,9,11,12,14,27,38,34,2,366130000,0
1820,2023/8/21,5,10,30,35,36,41,23,0,0,500000000
1819,2023/8/17,5,8,18,20,24,34,29,0,0,200000000
1818,2023/8/14,2,11,23,25,34,36,1,3,338010000,0
1817,2023/8/10,6,24,30,33,37,38,7,0,0,700000000
1816,2023/8/7,2,21,25,34,35,40,6,0,0,500000000
1815,2023/8/3,3,8,10,25,26,29,32,0,0,200000000
1814,2023/7/31,1,2,13,21,23,31,5,3,159510000,0
1813,2023/7/27,5,22,26,34,39,42,12,0,0,200000000
1812,2023/7/24,10,13,18,28,36,39,7,2,372890000,0
1811,2023/7/20,2,4,6,13,20,38,33,0,0,500000000
1810,2023/7/17,4,17,26,30,31,43,25,0,0,200000000
1809,2023/7/13,2,5,10,22,24,42,7,1,255710000,0
1808,2023/7/10,2,10,27,38,40,41,11,1,200000000,40000000
1807,2023/7/6,1,2,8,9,10,20,25,6,182250000,0
1806,2023/7/3,11,30,35,38,40,43,12,0,0,800000000
1805,2023/6/29,4,22,27,31,32,40,35,0,0,500000000
1804,2023/6/26,12,14,18,25,36,42,26,0,0,200000000
1803,2023/6/22,9,16,18,19,39,41,3,2,381600000,0
1802,2023/6/19,1,9,34,35,39,42,33,1,600000000,500000000
1801,2023/6/15,18,25,26,37,39,43,21,0,0,800000000
1800,2023/6/12,6,12,13,15,17,41,27,0,0,500000000
1799,2023/6/8,11,18,34,40,41,42,14,0,0,200000000
1798,2023/6/5,4,5,19,32,34,37,41,1,537760000,0
1797,2023/6/1,15,23,26,34,41,43,32,0,0,300000000
1796,2023/5/29,2,5,15,16,23,26,32,1,600000000,20000000
1795,2023/5/25,26,30,31,35,41,43,5,0,0,400000000
1794,2023/5/22,24,29,32,35,36,40,39,1,200000000,100000000
1793,2023/5/18,1,6,14,15,23,24,42,1,471000000,0
1792,2023/5/15,1,4,16,31,32,41,30,0,0,200000000
1791,2023/5/11,8,9,18,19,30,36,17,1,258220000,0
1790,2023/5/8,6,14,18,22,29,30,36,1,200000000,30000000
1789,2023/5/4,6,9,16,26,29,34,36,2,104930000,0
1788,2023/5/1,3,14,16,19,26,39,9,3,94570000,0
1787,2023/4/27,2,13,17,19,41,43,1,1,200000000,40000000
1786,2023/4/24,2,5,6,26,33,35,13,3,74850000,0
1785,2023/4/20,4,11,24,35,37,42,7,2,259100000,0
1784,2023/4/17,3,19,30,32,36,40,42,0,0,300000000
1783,2023/4/13,5,14,19,23,30,42,35,3,398380000,0
1782,2023/4/10,7,31,32,36,39,42,34,0,0,900000000
1781,2023/4/6,10,18,32,39,41,42,12,1,600000000,600000000
1780,2023/4/3,1,5,19,26,35,37,32,0,0,900000000
1779,2023/3/30,11,13,20,33,35,40,34,0,0,600000000
1778,2023/3/27,9,19,24,25,26,39,34,0,0,300000000
1777,2023/3/23,5,16,19,21,30,35,11,1,200000000,40000000
1776,2023/3/20,5,11,18,25,33,38,32,8,99350000,0
1775,2023/3/16,4,5,9,26,27,29,43,1,600000000,500000000
1774,2023/3/13,17,18,26,30,36,40,3,0,0,800000000
1773,2023/3/9,12,21,22,27,31,32,20,0,0,500000000
1772,2023/3/6,5,21,22,30,32,36,16,0,0,300000000
1771,2023/3/2,3,6,12,16,31,42,40,1,200000000,20000000
1770,2023/2/27,1,11,18,24,37,43,28,2,398400000,0
1769,2023/2/23,4,11,15,19,28,32,34,0,0,500000000
1768,2023/2/20,6,21,30,32,39,40,34,0,0,300000000
1767,2023/2/16,7,15,17,21,32,35,43,2,411170000,0
1766,2023/2/13,16,19,25,26,35,43,38,1,600000000,500000000
1765,2023/2/9,1,10,15,19,20,32,6,0,0,800000000
1764,2023/2/6,16,21,26,31,39,42,41,0,0,500000000
1763,2023/2/2,2,6,20,30,31,41,11,0,0,200000000
1762,2023/1/30,1,6,7,20,37,40,10,2,211300000,0
1761,2023/1/26,5,7,13,21,23,30,42,1,600000000,200000000
1760,2023/1/23,8,14,18,38,39,42,30,0,0,500000000
1759,2023/1/19,1,10,25,27,28,33,15,0,0,200000000
1758,2023/1/16,7,14,28,32,42,43,17,2,143790000,0
1757,2023/1/12,6,12,15,35,36,39,42,1,200000000,30000000
1756,2023/1/9,19,25,29,36,37,41,2,3,90290000,0
1755,2023/1/5,4,11,13,26,27,36,15,1,492710000,0
1754,2022/12/29,3,6,7,19,35,39,21,0,0,200000000
1753,2022/12/26,1,2,4,9,22,25,38,4,120200000,0
1752,2022/12/22,2,5,15,20,22,36,8,0,0,200000000
1751,2022/12/19,1,12,21,24,29,42,32,2,145790000,0
1750,2022/12/15,3,15,18,21,34,40,1,1,200000000,40000000
1749,2022/12/12,1,4,13,17,31,34,18,1,496120000,0
1748,2022/12/8,8,11,23,28,36,39,6,2,600000000,200000000
1747,2022/12/5,1,9,11,14,15,40,32,0,0,1100000000
1746,2022/12/1,3,11,14,22,27,32,31,0,0,800000000
1745,2022/11/28,7,9,10,21,39,40,32,0,0,500000000
1744,2022/11/24,1,8,21,25,26,35,20,0,0,200000000
1743,2022/11/21,3,17,18,19,20,42,9,1,525680000,0
1742,2022/11/17,16,20,22,29,33,40,25,0,0,200000000
1741,2022/11/14,4,14,17,19,22,42,6,2,282130000,0
1740,2022/11/10,14,21,24,27,31,38,5,0,0,300000000
1739,2022/11/7,1,7,12,36,37,39,41,1,200000000,50000000
1738,2022/11/3,7,12,20,31,33,43,14,3,168080000,0
1737,2022/10/31,12,14,22,24,29,33,3,0,0,200000000
1736,2022/10/27,6,9,25,26,27,32,11,4,123700000,0
1735,2022/10/24,1,21,24,33,40,41,12,0,0,200000000
1734,2022/10/20,5,6,11,19,28,35,42,2,103130000,0
1733,2022/10/17,22,24,25,27,29,39,7,1,516760000,0
1732,2022/10/13,3,18,19,34,38,42,14,0,0,200000000
1731,2022/10/10,3,7,19,21,32,35,6,3,71120000,0
1730,2022/10/6,4,8,16,21,22,26,23,2,231360000,0
1729,2022/10/3,11,15,24,25,28,31,9,0,0,200000000
1728,2022/9/29,4,8,14,18,26,38,3,2,106580000,0
1727,2022/9/26,3,13,16,22,33,42,15,2,254650000,0
1726,2022/9/22,9,14,16,21,27,43,26,0,0,200000000
1725,2022/9/19,2,10,16,17,20,28,1,1,200000000,0
1724,2022/9/15,6,9,24,26,33,37,16,2,237950000,0
1723,2022/9/12,6,10,15,16,30,38,26,0,0,200000000
1722,2022/9/8,2,5,30,33,36,42,28,2,117410000,0
1721,2022/9/5,7,8,14,17,22,39,30,4,56370000,0
1720,2022/9/1,1,5,18,25,32,38,20,2,112190000,0
1719,2022/8/29,4,11,15,16,35,39,36,3,163590000,0
1718,2022/8/25,1,6,9,15,18,38,10,0,0,200000000
1717,2022/8/22,15,21,23,24,33,36,40,1,505270000,0
1716,2022/8/18,2,26,27,32,38,42,9,0,0,200000000
1715,2022/8/15,2,6,15,16,32,37,25,5,340520000,0
1714,2022/8/11,11,15,20,26,33,42,16,0,0,1400000000
1713,2022/8/8,6,32,38,39,40,42,37,0,0,1100000000
1712,2022/8/4,1,5,15,24,25,28,14,0,0,800000000
1711,2022/8/1,3,32,33,34,35,40,5,0,0,500000000
1710,2022/7/28,1,2,21,27,32,37,14,0,0,200000000
1709,2022/7/25,3,4,7,20,22,41,5,1,496250000,0
1708,2022/7/21,1,20,29,35,40,41,16,0,0,200000000
1707,2022/7/18,14,16,28,34,35,36,26,1,489690000,0
1706,2022/7/14,13,15,32,35,37,38,25,0,0,200000000
1705,2022/7/11,3,6,9,28,37,41,5,2,272160000,0
1704,2022/7/7,1,5,18,26,39,40,31,0,0,300000000
1703,2022/7/4,14,22,23,30,33,38,18,1,200000000,50000000
1702,2022/6/30,2,6,7,18,27,38,14,1,198350000,0
1701,2022/6/27,5,8,27,30,33,39,10,3,168440000,0
1700,2022/6/23,11,19,20,27,31,35,6,0,0,200000000
1699,2022/6/20,4,6,16,27,39,42,1,1,507200000,0
1698,2022/6/16,6,16,18,33,42,43,11,0,0,200000000
1697,2022/6/13,2,3,11,12,22,35,26,1,516520000,0
1696,2022/6/9,2,4,13,18,32,35,12,0,0,300000000
1695,2022/6/6,3,8,14,18,28,37,39,1,200000000,20000000
1694,2022/6/2,2,12,14,26,32,37,29,1,267870000,0
1693,2022/5/30,7,8,21,23,34,36,11,1,200000000,30000000
1692,2022/5/26,4,8,17,31,37,42,14,1,520780000,0
1691,2022/5/23,13,16,18,29,33,41,26,0,0,200000000
1690,2022/5/19,8,16,21,23,29,37,38,3,72360000,0
1689,2022/5/16,4,7,21,22,34,42,31,5,48330000,0
1688,2022/5/12,2,4,10,24,34,42,8,3,173840000,0
1687,2022/5/9,20,21,23,26,29,35,22,0,0,300000000
1686,2022/5/5,7,8,9,23,25,41,11,2,102690000,0
1685,2022/5/2,1,26,27,28,33,37,8,1,332070000,0
1684,2022/4/28,5,10,26,30,34,40,31,1,200000000,50000000
1683,2022/4/25,6,15,28,30,32,43,21,3,526690000,0
1682,2022/4/21,6,9,10,21,33,41,14,0,0,1200000000
1681,2022/4/18,1,7,11,13,15,42,33,0,0,800000000
1680,2022/4/14,4,19,29,32,35,42,25,0,0,500000000
1679,2022/4/11,10,12,13,21,31,41,27,0,0,200000000
1678,2022/4/7,3,15,17,21,22,23,13,2,109880000,0
1677,2022/4/4,11,20,26,31,34,38,32,3,205630000,0
1676,2022/3/31,5,13,21,27,31,36,11,0,0,300000000
1675,2022/3/28,2,3,17,27,28,34,6,1,200000000,60000000
1674,2022/3/24,14,19,25,29,33,43,31,1,522550000,0
1673,2022/3/21,24,33,35,36,41,43,21,0,0,200000000
1672,2022/3/17,6,17,22,27,37,42,34,2,114360000,0
1671,2022/3/14,16,27,37,38,39,43,10,1,549310000,0
1670,2022/3/10,1,16,20,23,32,37,18,0,0,200000000
1669,2022/3/7,2,4,13,14,22,29,26,2,306390000,0
1668,2022/3/3,5,16,21,24,31,34,29,1,600000000,300000000
1667,2022/2/28,5,8,18,25,40,43,17,0,0,600000000
1666,2022/2/24,14,16,26,37,41,43,31,0,0,300000000
1665,2022/2/21,19,22,24,29,34,41,9,1,200000000,50000000
1664,2022/2/17,7,10,17,20,21,27,15,1,498090000,0
1663,2022/2/14,1,6,19,21,27,39,3,0,0,200000000
1662,2022/2/10,4,17,18,25,26,27,32,1,518830000,0
1661,2022/2/7,6,14,31,35,38,43,12,0,0,300000000
1660,2022/2/3,3,13,29,35,42,43,15,1,321050000,0
1659,2022/1/31,4,10,23,25,37,42,6,1,200000000,50000000
1658,2022/1/27,10,11,19,29,30,36,37,2,160290000,0
